	Ramlibacter_tataouinensis_TTB310	Limnohabitans_sp_Rim11_CXOM00000000.1	Curvibacter_lanceolatus_ATCC_NZ_KB9062531	Limnohabitans_sp_103DPR2_NZ.CP011834.1	Variovorax_paradoxus_EPS_NC_0149311	Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1	Rhodoferax_saidenbachensis_ED16_AWQR010000011	Limnohabitans_sp_Rim47_2684622883	Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1	Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	Ramlibacter_tataouinensis_5_10	Curvibacter_sp_PAE_UM_NZ_KQ4833581	Ramlibacter_sp_Leaf400	Rhodoferax_ferrireducens_T118_CP0002671	121950.assembled	Variovorax_paradoxus_110B_NZ_KB9074501
Ramlibacter_tataouinensis_TTB310	0.0	210288.0	310088.0	230336.0	361459.0	263033.0	288562.0	244920.0	252203.0	257687.0	361919.0	302089.0	385409.0	281295.0	341977.0	340849.0
Limnohabitans_sp_Rim11_CXOM00000000.1	210371.0	0.0	201232.0	374434.0	194077.0	297023.0	202034.0	291497.0	270698.0	294169.0	213338.0	213124.0	205786.0	199500.0	195960.0	190236.0
Curvibacter_lanceolatus_ATCC_NZ_KB9062531	323929.0	206645.0	0.0	214477.0	402806.0	271564.0	316506.0	252184.0	276577.0	277249.0	330266.0	317644.0	331171.0	326499.0	335821.0	423293.0
Limnohabitans_sp_103DPR2_NZ.CP011834.1	217591.0	368639.0	208717.0	0.0	203940.0	298033.0	198295.0	296658.0	274915.0	299498.0	220829.0	217088.0	209635.0	200122.0	202444.0	187025.0
Variovorax_paradoxus_EPS_NC_0149311	367059.0	190586.0	395424.0	209450.0	0.0	246472.0	295725.0	235276.0	257034.0	249080.0	351326.0	287605.0	364606.0	297547.0	334814.0	619819.0
Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1	260012.0	293854.0	260466.0	297640.0	242528.0	0.0	230754.0	335185.0	303046.0	325204.0	252882.0	251511.0	255451.0	228340.0	245824.0	232813.0
Rhodoferax_saidenbachensis_ED16_AWQR010000011	283839.0	197187.0	300931.0	203255.0	296560.0	224060.0	0.0	222009.0	228549.0	224453.0	297806.0	319785.0	284568.0	342251.0	278151.0	288707.0
Limnohabitans_sp_Rim47_2684622883	247198.0	290829.0	245501.0	297676.0	232957.0	338764.0	225947.0	0.0	310068.0	332183.0	248399.0	248666.0	244526.0	232586.0	237340.0	227224.0
Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1	251863.0	265116.0	258557.0	275030.0	251456.0	309558.0	223320.0	306745.0	0.0	339482.0	255215.0	241761.0	246724.0	224847.0	234854.0	235203.0
Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	260348.0	285977.0	269091.0	307210.0	248593.0	327030.0	226808.0	336991.0	334178.0	0.0	254614.0	253772.0	258866.0	225848.0	243323.0	237751.0
Ramlibacter_tataouinensis_5_10	364542.0	212150.0	327637.0	223597.0	357257.0	261717.0	294814.0	250496.0	261524.0	262023.0	0.0	312341.0	400704.0	300905.0	381442.0	336058.0
Curvibacter_sp_PAE_UM_NZ_KQ4833581	304916.0	218049.0	307277.0	222670.0	286331.0	254580.0	314243.0	250030.0	244546.0	256829.0	304461.0	0.0	295348.0	314492.0	291166.0	279360.0
Ramlibacter_sp_Leaf400	388600.0	203866.0	329388.0	216985.0	363698.0	261673.0	289306.0	250122.0	254694.0	261517.0	403829.0	299994.0	0.0	284003.0	362674.0	346962.0
Rhodoferax_ferrireducens_T118_CP0002671	286106.0	199032.0	316103.0	200972.0	296822.0	226073.0	330883.0	221260.0	230103.0	224948.0	293920.0	310769.0	281643.0	0.0	284862.0	292527.0
121950.assembled	338313.0	200829.0	321093.0	213661.0	331448.0	252167.0	283821.0	240929.0	239649.0	243398.0	377751.0	289632.0	365386.0	289060.0	0.0	321774.0
Variovorax_paradoxus_110B_NZ_KB9074501	345171.0	181706.0	409232.0	192119.0	622189.0	233978.0	288135.0	221486.0	247018.0	239616.0	335450.0	277651.0	350728.0	289183.0	331551.0	0.0
