Query	Subject	E-value	Start	End	Start_Query	End_Query	Covered_fraction
2727790781	AA3.hmm	6.1e-45	90	401	9	580		0.503236245954693
2727790785	GT2.hmm	2.3e-17	2	165	8	166		0.970238095238095
2727790788	GT9.hmm	1.8e-07	52	178	101	261		0.56
2727790790	GT9.hmm	6.9e-39	4	207	73	289		0.902222222222222
2727790791	GT4.hmm	2.5e-25	7	148	212	349		0.88125
2727790812	GH102.hmm	4.1e-38	46	157	146	262		0.707006369426752
2727790821	GT70.hmm	6.2e-08	131	366	110	364		0.638586956521739
2727790833	GT20.hmm	5.4e-156	12	473	257	725		0.970526315789474
2727790865	CE1.hmm	1.7e-07	29	143	27	177		0.502202643171806
2727790881	CE14.hmm	3.6e-12	1	81	11	102		0.645161290322581
2727790885	GT4.hmm	2.2e-28	6	149	201	353		0.89375
2727790907	GT19.hmm	8.9e-125	3	353	5	359		0.988700564971751
2727790934	GT83.hmm	1.5e-15	6	461	15	491		0.842592592592593
2727790948	GH23.hmm	9.6e-26	2	130	117	262		0.948148148148148
2727790948	CBM50.hmm	4.6e-05	7	38	429	464		0.775
2727790993	GT83.hmm	8.5e-100	6	404	6	407		0.737037037037037
2727790994	GT2.hmm	2.6e-28	1	166	31	191		0.982142857142857
2727791049	CE10.hmm	8.2e-68	45	339	34	314		0.86217008797654
2727791092	CE1.hmm	2.9e-31	7	210	139	374		0.894273127753304
2727791116	GT51.hmm	1.6e-63	1	176	82	258		0.988700564971751
2727791196	CE1.hmm	8e-06	13	175	36	227		0.713656387665198
2727791198	CE1.hmm	6.4e-08	23	143	16	158		0.52863436123348
2727791201	CE10.hmm	4.5e-78	33	337	15	311		0.891495601173021
2727791240	CE1.hmm	3.2e-06	92	173	111	203		0.356828193832599
2727791308	CBM50.hmm	8.6e-12	1	39	67	109		0.95
2727791320	GT104.hmm	6.6e-82	7	374	3	358		0.968337730870712
2727791400	AA3.hmm	1.9e-108	86	406	2	546		0.517799352750809
