unique_gene_callers_id	ko_id
Ramli-Leaf400.438
Ramli-Leaf400.1236
Ramli-Leaf400.1248
Ramli-Leaf400.1666
Ramli-Leaf400.0	K02358
Ramli-Leaf400.1100
Ramli-Leaf400.1625	K02518
Ramli-Leaf400.599	K02518
Ramli-Leaf400.4300	K02518
Ramli-Leaf400.3547
Ramli-Leaf400.3638
Ramli-Leaf400.4301
Ramli-Leaf400.3505
Ramli-Leaf400.1461
Ramli-Leaf400.848	K02028
Ramli-Leaf400.2185	K02028
Ramli-Leaf400.4019	K10004
Ramli-Leaf400.3575	K01996
Ramli-Leaf400.2803	K00252
Ramli-Leaf400.570	K00252
Ramli-Leaf400.3739	K00252
Ramli-Leaf400.2802	K00252
Ramli-Leaf400.3637
Ramli-Leaf400.3218
Ramli-Leaf400.3751
Ramli-Leaf400.3752
Ramli-Leaf400.3750
Ramli-Leaf400.2585
Ramli-Leaf400.4409
Ramli-Leaf400.2584
Ramli-Leaf400.2431	K20034
Ramli-Leaf400.1485	K00029
Ramli-Leaf400.1985	K00029
Ramli-Leaf400.2066	K00029
Ramli-Leaf400.2072	K01685
Ramli-Leaf400.425	K01685
Ramli-Leaf400.2079	K01685
Ramli-Leaf400.2891
Ramli-Leaf400.3318
Ramli-Leaf400.3802	K02650
Ramli-Leaf400.1517	K02650
Ramli-Leaf400.1240	K00163
Ramli-Leaf400.2282	K00163
Ramli-Leaf400.2238	K00053
Ramli-Leaf400.4443	K00053
Ramli-Leaf400.4259	K00053
Ramli-Leaf400.2239	K00053
Ramli-Leaf400.984
Ramli-Leaf400.4434	K04751
Ramli-Leaf400.1368	K04752
Ramli-Leaf400.1132	K02110
Ramli-Leaf400.3794	K02110
Ramli-Leaf400.3190
Ramli-Leaf400.1314	K01897
Ramli-Leaf400.4108
Ramli-Leaf400.3710
Ramli-Leaf400.2941
Ramli-Leaf400.236
Ramli-Leaf400.3596	K05816
Ramli-Leaf400.1987	K10112
Ramli-Leaf400.1291	K03549
Ramli-Leaf400.1885	K03549
Ramli-Leaf400.597	K18139
Ramli-Leaf400.596	K18138
Ramli-Leaf400.346	K00179
Ramli-Leaf400.4198	K00179
Ramli-Leaf400.3291
Ramli-Leaf400.3533
Ramli-Leaf400.4064	K08738
Ramli-Leaf400.14	K08738
Ramli-Leaf400.3955	K01626
Ramli-Leaf400.1459	K11719
Ramli-Leaf400.1458	K03270
Ramli-Leaf400.2445	K00046
Ramli-Leaf400.3715	K00046
Ramli-Leaf400.2531	K01420
Ramli-Leaf400.2743	K01420
Ramli-Leaf400.1222	K07302
Ramli-Leaf400.1439	K21929
Ramli-Leaf400.1642	K00140
Ramli-Leaf400.1907	K00140
Ramli-Leaf400.1801	K00140
Ramli-Leaf400.3835	K01703
Ramli-Leaf400.1066	K01703
Ramli-Leaf400.2599	K03704
Ramli-Leaf400.4150	K21393
Ramli-Leaf400.448	K21393
Ramli-Leaf400.3695	K21393
Ramli-Leaf400.2080	K00135
Ramli-Leaf400.3048	K00135
Ramli-Leaf400.666	K13529
Ramli-Leaf400.554
Ramli-Leaf400.359
Ramli-Leaf400.91
Ramli-Leaf400.2826	K16165
Ramli-Leaf400.1213	K01179
Ramli-Leaf400.4096
Ramli-Leaf400.2442	K00626
Ramli-Leaf400.1637
Ramli-Leaf400.2713	K15512
Ramli-Leaf400.684	K01991
Ramli-Leaf400.640	K19591
Ramli-Leaf400.3473	K19591
