gene_oid	gene_length	feature_type	start_coord	end_coord
2727816809	247	cleavage	23	24
2727816811	116	cleavage	23	24
2727816819	247	cleavage	26	27
2727816839	87	cleavage	18	19
2727816840	335	cleavage	20	21
2727816846	198	cleavage	24	25
2727816848	607	cleavage	23	24
2727816850	448	cleavage	16	17
2727816852	281	cleavage	28	29
2727816858	257	cleavage	22	23
2727816861	122	cleavage	36	37
2727816892	237	cleavage	25	26
2727816916	246	cleavage	22	23
2727816917	158	cleavage	24	25
2727816957	113	cleavage	28	29
2727816959	226	cleavage	28	29
2727816961	499	cleavage	22	23
2727816964	136	cleavage	35	36
2727816976	284	cleavage	28	29
2727817010	129	cleavage	23	24
2727817023	186	cleavage	19	20
2727817032	202	cleavage	28	29
