Query	Subject	E-value	Start	End	Start_Query	End_Query	Covered_fraction
2727813515	CE1.hmm	6e-20	70	220	72	239		0.66079295154185
2727813534	CBM9.hmm	3.9e-17	1	167	23	197		0.912087912087912
2727813546	GH109.hmm	1.5e-17	3	119	47	156		0.920634920634921
2727813557	GT4.hmm	9.6e-33	10	158	197	345		0.925
2727813567	GH3.hmm	1e-70	3	216	95	312		0.986111111111111
2727813619	CE10.hmm	1.3e-11	122	329	732	925		0.607038123167155
2727813622	CBM32.hmm	1.3e-10	30	121	40	146		0.733870967741935
2727813652	GT2.hmm	9e-12	1	138	50	191		0.81547619047619
2727813692	GT4.hmm	1.4e-25	15	153	193	325		0.8625
2727813693	GT4.hmm	5.6e-27	6	148	180	323		0.8875
2727813703	GH5_5.hmm	8.5e-78	2	283	28	314		0.98943661971831
2727813717	GH28.hmm	2.7e-83	6	320	71	471		0.966153846153846
2727813727	GT35.hmm	3.9e-65	210	582	177	503		0.551928783382789
2727813736	GH5_5.hmm	6.1e-09	97	201	195	299		0.366197183098592
2727813748	GH109.hmm	3.8e-09	52	117	48	109		0.515873015873016
2727813768	GH13.hmm	3.4e-46	12	286	56	331		0.916387959866221
2727813772	CE3.hmm	1.2e-06	55	184	49	188		0.664948453608247
2727813777	CE1.hmm	2.9e-15	13	214	568	792		0.885462555066079
2727813787	CE1.hmm	3e-43	2	223	143	374		0.973568281938326
2727813837	GT28.hmm	2.1e-46	1	156	210	367		0.987261146496815
2727813894	GT9.hmm	1.4e-40	5	221	65	309		0.96
2727813940	GH29.hmm	1e-78	39	340	26	335		0.869942196531792
2727813984	PL9.hmm	1.3e-108	8	374	17	421		0.978609625668449
2727813989	CE1.hmm	1.6e-07	27	179	21	221		0.669603524229075
2727813991	CBM44.hmm	2.5e-07	18	58	332	374		0.625
2727814009	CE11.hmm	1.4e-75	1	233	10	243		0.856088560885609
2727814011	GH105.hmm	1.1e-80	7	332	66	384		0.978915662650602
2727814012	CBM66.hmm	8.1e-07	53	150	112	218		0.625806451612903
2727814014	GH65.hmm	5.2e-07	52	231	406	576		0.481182795698925
2727814015	GH2.hmm	6.4e-67	27	435	19	536		0.542553191489362
2727814016	CE12.hmm	8.8e-60	1	210	28	245		0.995238095238095
2727814017	CE12.hmm	2.7e-64	1	210	26	239		0.995238095238095
2727814018	GH2.hmm	2.3e-109	24	607	18	704		0.775265957446808
2727814019	GH28.hmm	4.7e-67	6	306	60	428		0.923076923076923
2727814020	GH2.hmm	2.2e-111	18	522	14	658		0.670212765957447
2727814022	PL12.hmm	3e-12	4	137	416	551		0.963768115942029
2727814023	GH106.hmm	2.4e-251	5	822	21	934		0.991504854368932
2727814024	PL22.hmm	4.4e-24	148	259	73	183		0.418867924528302
2727814024	PL22_2.hmm	1.2e-57	3	158	193	398		0.981012658227848
2727814025	CE12.hmm	2.8e-66	1	210	196	402		0.995238095238095
2727814026	CBM16.hmm	1.3e-07	55	110	124	186		0.474137931034483
2727814026	GH51.hmm	8.8e-105	98	433	183	538		0.531746031746032
2727814027	GH105.hmm	8.4e-97	10	331	91	423		0.966867469879518
2727814034	PL11.hmm	5.8e-260	2	587	24	626		0.965346534653465
2727814044	GH109.hmm	3.7e-10	1	113	41	153		0.888888888888889
2727814045	CBM66.hmm	2.6e-09	2	147	31	189		0.935483870967742
2727814100	GH31.hmm	2.7e-133	2	427	185	638		0.995316159250585
2727814116	GT4.hmm	5e-37	5	158	195	345		0.95625
2727814149	GT2.hmm	1.2e-22	1	165	46	205		0.976190476190476
2727814211	PL22.hmm	4.9e-07	103	211	195	292		0.407547169811321
2727814273	GH23.hmm	1.1e-20	2	119	88	220		0.866666666666667
2727814306	CBM44.hmm	1e-07	21	62	421	464		0.640625
2727814400	AA4.hmm	2e-31	18	258	15	246		0.459770114942529
2727814411	CBM67.hmm	6e-09	14	90	135	211		0.431818181818182
2727814435	GT2.hmm	1.6e-12	1	134	19	150		0.791666666666667
2727814454	AA3.hmm	1.9e-56	80	404	3	578		0.524271844660194
2727814489	GH109.hmm	0.00036	62	109	53	99		0.373015873015873
2727814494	GT4.hmm	2.2e-33	7	159	226	376		0.95
