contig contig_geneID GC Genome
Ga0182890_101 Ga0182890_1011 0.317 121960.assembled.gff
Ga0182890_101 Ga0182890_1012 0.315 121960.assembled.gff
Ga0182890_101 Ga0182890_1013 0.364 121960.assembled.gff
Ga0182890_101 Ga0182890_1014 0.337 121960.assembled.gff
Ga0182890_101 Ga0182890_1015 0.353 121960.assembled.gff
Ga0182890_101 Ga0182890_1016 0.36 121960.assembled.gff
Ga0182890_101 Ga0182890_1017 0.339 121960.assembled.gff
Ga0182890_101 Ga0182890_1018 0.374 121960.assembled.gff
Ga0182890_101 Ga0182890_1019 0.307 121960.assembled.gff
Ga0182890_101 Ga0182890_10110 0.328 121960.assembled.gff
Ga0182890_101 Ga0182890_10111 0.355 121960.assembled.gff
Ga0182890_101 Ga0182890_10112 0.34 121960.assembled.gff
Ga0182890_101 Ga0182890_10113 0.329 121960.assembled.gff
Ga0182890_101 Ga0182890_10114 0.307 121960.assembled.gff
Ga0182890_101 Ga0182890_10115 0.271 121960.assembled.gff
Ga0182890_101 Ga0182890_10116 0.327 121960.assembled.gff
Ga0182890_101 Ga0182890_10117 0.344 121960.assembled.gff
Ga0182890_101 Ga0182890_10118 0.358 121960.assembled.gff
Ga0182890_101 Ga0182890_10119 0.351 121960.assembled.gff
Ga0182890_101 Ga0182890_10120 0.404 121960.assembled.gff
Ga0182890_101 Ga0182890_10121 0.352 121960.assembled.gff
Ga0182890_101 Ga0182890_10122 0.358 121960.assembled.gff
Ga0182890_101 Ga0182890_10123 0.375 121960.assembled.gff
Ga0182890_101 Ga0182890_10124 0.299 121960.assembled.gff
Ga0182890_101 Ga0182890_10125 0.27 121960.assembled.gff
Ga0182890_101 Ga0182890_10126 0.366 121960.assembled.gff
Ga0182890_101 Ga0182890_10127 0.381 121960.assembled.gff
Ga0182890_101 Ga0182890_10128 0.381 121960.assembled.gff
Ga0182890_101 Ga0182890_10129 0.298 121960.assembled.gff
Ga0182890_101 Ga0182890_10130 0.365 121960.assembled.gff
Ga0182890_101 Ga0182890_10131 0.351 121960.assembled.gff
Ga0182890_101 Ga0182890_10132 0.344 121960.assembled.gff
Ga0182890_101 Ga0182890_10133 0.386 121960.assembled.gff
Ga0182890_101 Ga0182890_10134 0.366 121960.assembled.gff
Ga0182890_101 Ga0182890_10135 0.327 121960.assembled.gff
Ga0182890_101 Ga0182890_10136 0.334 121960.assembled.gff
Ga0182890_101 Ga0182890_10137 0.356 121960.assembled.gff
Ga0182890_101 Ga0182890_10138 0.3 121960.assembled.gff
Ga0182890_101 Ga0182890_10139 0.343 121960.assembled.gff
Ga0182890_101 Ga0182890_10140 0.345 121960.assembled.gff
Ga0182890_102 Ga0182890_1021 0.348 121960.assembled.gff
Ga0182890_102 Ga0182890_1022 0.344 121960.assembled.gff
Ga0182890_102 Ga0182890_1023 0.379 121960.assembled.gff
Ga0182890_102 Ga0182890_1024 0.351 121960.assembled.gff
Ga0182890_102 Ga0182890_1025 0.325 121960.assembled.gff
Ga0182890_102 Ga0182890_1026 0.381 121960.assembled.gff
Ga0182890_102 Ga0182890_1027 0.347 121960.assembled.gff
Ga0182890_102 Ga0182890_1028 0.396 121960.assembled.gff
Ga0182890_102 Ga0182890_1029 0.355 121960.assembled.gff
Ga0182890_102 Ga0182890_10210 0.381 121960.assembled.gff
Ga0182890_102 Ga0182890_10211 0.376 121960.assembled.gff
Ga0182890_102 Ga0182890_10212 0.36 121960.assembled.gff
Ga0182890_102 Ga0182890_10213 0.323 121960.assembled.gff
Ga0182890_102 Ga0182890_10214 0.316 121960.assembled.gff
Ga0182890_102 Ga0182890_10215 0.343 121960.assembled.gff
Ga0182890_102 Ga0182890_10216 0.328 121960.assembled.gff
Ga0182890_102 Ga0182890_10217 0.329 121960.assembled.gff
Ga0182890_102 Ga0182890_10218 0.348 121960.assembled.gff
Ga0182890_102 Ga0182890_10219 0.329 121960.assembled.gff
Ga0182890_102 Ga0182890_10220 0.376 121960.assembled.gff
Ga0182890_102 Ga0182890_10221 0.364 121960.assembled.gff
Ga0182890_102 Ga0182890_10222 0.341 121960.assembled.gff
Ga0182890_102 Ga0182890_10223 0.335 121960.assembled.gff
Ga0182890_102 Ga0182890_10224 0.309 121960.assembled.gff
Ga0182890_102 Ga0182890_10225 0.324 121960.assembled.gff
Ga0182890_102 Ga0182890_10226 0.359 121960.assembled.gff
Ga0182890_102 Ga0182890_10227 0.344 121960.assembled.gff
Ga0182890_102 Ga0182890_10228 0.314 121960.assembled.gff
Ga0182890_102 Ga0182890_10229 0.363 121960.assembled.gff
