contig contig_geneID GC Genome
Ga0182879_1001 Ga0182879_10011 0.758 121950.assembled.gff
Ga0182879_1001 Ga0182879_10012 0.709 121950.assembled.gff
Ga0182879_1001 Ga0182879_10013 0.686 121950.assembled.gff
Ga0182879_1001 Ga0182879_10014 0.761 121950.assembled.gff
Ga0182879_1001 Ga0182879_10015 0.724 121950.assembled.gff
Ga0182879_1001 Ga0182879_10016 0.667 121950.assembled.gff
Ga0182879_1001 Ga0182879_10017 0.689 121950.assembled.gff
Ga0182879_1001 Ga0182879_10018 0.677 121950.assembled.gff
Ga0182879_1001 Ga0182879_10019 0.707 121950.assembled.gff
Ga0182879_1001 Ga0182879_100110 0.717 121950.assembled.gff
Ga0182879_1002 Ga0182879_10021 0.736 121950.assembled.gff
Ga0182879_1002 Ga0182879_10022 0.585 121950.assembled.gff
Ga0182879_1002 Ga0182879_10023 0.597 121950.assembled.gff
Ga0182879_1002 Ga0182879_10024 0.617 121950.assembled.gff
Ga0182879_1002 Ga0182879_10025 0.772 121950.assembled.gff
Ga0182879_1002 Ga0182879_10027 0.719 121950.assembled.gff
Ga0182879_1002 Ga0182879_10028 0.678 121950.assembled.gff
Ga0182879_1003 Ga0182879_10031 0.76 121950.assembled.gff
Ga0182879_1003 Ga0182879_10032 0.676 121950.assembled.gff
Ga0182879_1003 Ga0182879_10033 0.697 121950.assembled.gff
Ga0182879_1003 Ga0182879_10034 0.723 121950.assembled.gff
Ga0182879_1003 Ga0182879_10035 0.694 121950.assembled.gff
Ga0182879_1003 Ga0182879_10036 0.704 121950.assembled.gff
Ga0182879_1003 Ga0182879_10037 0.705 121950.assembled.gff
Ga0182879_1003 Ga0182879_10038 0.691 121950.assembled.gff
Ga0182879_1003 Ga0182879_10039 0.668 121950.assembled.gff
Ga0182879_1003 Ga0182879_100310 0.71 121950.assembled.gff
Ga0182879_1003 Ga0182879_100311 0.748 121950.assembled.gff
Ga0182879_1004 Ga0182879_10041 0.81 121950.assembled.gff
Ga0182879_1004 Ga0182879_10042 0.715 121950.assembled.gff
Ga0182879_1004 Ga0182879_10043 0.728 121950.assembled.gff
Ga0182879_1004 Ga0182879_10044 0.728 121950.assembled.gff
Ga0182879_1004 Ga0182879_10045 0.714 121950.assembled.gff
Ga0182879_1004 Ga0182879_10046 0.737 121950.assembled.gff
Ga0182879_1004 Ga0182879_10047 0.705 121950.assembled.gff
Ga0182879_1004 Ga0182879_10048 0.729 121950.assembled.gff
Ga0182879_1004 Ga0182879_10049 0.709 121950.assembled.gff
Ga0182879_1004 Ga0182879_100410 0.65 121950.assembled.gff
Ga0182879_1004 Ga0182879_100411 0.673 121950.assembled.gff
Ga0182879_1004 Ga0182879_100412 0.687 121950.assembled.gff
Ga0182879_1004 Ga0182879_100413 0.725 121950.assembled.gff
Ga0182879_1004 Ga0182879_100414 0.651 121950.assembled.gff
Ga0182879_1005 Ga0182879_10051 0.617 121950.assembled.gff
