id	name	formula	charge	inchikey	smiles	deltag	kegg id
cpd00213_c0	Lipoamide_c0	C8H15NOS2	0	FCCDDURTIIUXBY-SSDOTTSWSA-N	N=C(O)CCCCC1CCSS1	-21.54	C00248
cpd14700_c0	2-Methyl-1-hydroxypropyl-TPP_c0	C16H25N4O8P2S	-1	SSYCSHKTIOHFEZ-UHFFFAOYSA-M	Cc1ncc(C[n+]2c(C(O)C(C)C)sc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(=N)[nH]1	-403.72	C15976
cpd00056_c0	TPP_c0	C12H17N4O7P2S	-1	AYEKOFBPNLCAJY-UHFFFAOYSA-M	Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(=N)[nH]1	-368.32	C00068
cpd02700_c0	S-(2-Methylpropionyl)-dihydrolipoamide_c0	C12H23NO2S2	0	XZUKURPVWDTXGE-UHFFFAOYSA-N	CC(C)C(=O)SC(CCS)CCCCC(=N)O	-59.754	C04424
cpd00017_c0	S-Adenosyl-L-methionine_c0	C15H23N6O5S	1	MEFKEPWMEQBLKI-AIRLBKTGSA-O	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	-66.63	C00019
cpd00074_c0	S_c0	S	0	NINIDFKCEFEMDL-UHFFFAOYSA-N	[S]	-6.66	C00087
cpd01311_c0	Dethiobiotin_c0	C10H17N2O3	-1	AUTOLBMXDDTRRT-UHFFFAOYSA-M	CC1N=C(O)NC1CCCCCC(=O)[O-]	-115.31	C01909
cpd00060_c0	L-Methionine_c0	C5H11NO2S	0	FFEARJCKVFRZRR-BYPYZUCNSA-N	CSCCC(N)C(=O)O	-75.91	C00073
cpd00067_c0	H+_c0	H	1	GPRLSGONYQIRFK-UHFFFAOYSA-N	[H+]	-9.53	C00080
cpd00104_c0	BIOT_c0	C10H15N2O3S	-1	YBJHBAHKTGYVGT-ZKWXMUAHSA-M	O=C([O-])CCCCC1SCC2N=C(O)NC21	-109.02	C00120
cpd03091_c0	5'-Deoxyadenosine_c0	C10H13N5O3	0	XGYIMTFOTBMPFP-KQYNXXCUSA-N	CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	-9.12	C05198
cpd00002_c0	ATP_c0	C10H13N5O13P3	-3	ZKHQWZAMYRWXGA-KQYNXXCUSA-K	Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])C(O)C1O	-673.85	C00002
cpd00046_c0	CMP_c0	C9H12N3O8P	-2	IERHLVCPSMICTF-XVFCMESISA-L	N=c1ccn(C2OC(COP(=O)([O-])O)C(O)C2O)c([O-])n1	-345.38	C00055
cpd00008_c0	ADP_c0	C10H13N5O10P2	-2	XTWYTFMLZFPYCI-KQYNXXCUSA-L	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)([O-])[O-])C(O)C1O	-465.85	C00008
cpd00096_c0	CDP_c0	C9H13N3O11P2	-2	ZWIADYZPOWUWEW-XVFCMESISA-L	N=c1ccn(C2OC(COP(=O)(O)OP(=O)([O-])O)C(O)C2O)c([O-])n1	-553.38	C00112
cpd00037_c0	UDP-N-acetylglucosamine_c0	C17H25N3O17P2	-2	LFTYTUAZOPRMMI-CFRASDGPSA-L	CC([O-])=NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc([O-])nc3=O)C(O)C2O)OC(CO)C(O)C1O	-756.9	C00043
cpd03494_c0	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine_c0	C87H139N7O23P2	-4	PNWZQTONLRRPST-KLDRQJOASA-J	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)OC1OC(CO)C(O)C(OC(C)C(O)=NC(C)C([O-])=NC(CCC([O-])=NC(CCCC(N)C(=O)O)C(O)=NC(C)C([O-])=NC(C)C(=O)O)C(=O)O)C1N=C(C)[O-]	-678.6	C05897
cpd00014_c0	UDP_c0	C9H12N2O12P2	-2	XCCTYIAWTASOJW-XVFCMESISA-L	O=c1nc([O-])ccn1C1OC(COP(=O)(O)OP(=O)([O-])O)C(O)C1O	-605.77	C00015
cpd03495_c0	Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala_c0	C95H152N8O28P2	-4	OXJNZXDFVLDLEI-MBCYCBSHSA-J	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2N=C(C)[O-])C(OC(C)C(O)=NC(C)C(O)=NC(CCC([O-])=NC(CCCC(N)C(=O)O)C(O)=NC(C)C([O-])=NC(C)C(=O)O)C(=O)O)C1N=C(C)[O-]	-831.43	C05898
cpd00001_c0	H2O_c0	H2O	0	XLYOFNOQVPJJNP-UHFFFAOYSA-N	O	-56.687	C00001
cpd00658_c0	Isochorismate_c0	C10H8O6	-2	NTGWPRCCOQCMGE-YUMQZZPRSA-L	C=C(OC1C=CC=C(C(=O)[O-])C1O)C(=O)[O-]	-169.49	C00885
cpd00020_c0	Pyruvate_c0	C3H3O3	-1	LCTONWCANYUPML-UHFFFAOYSA-M	CC(=O)C(=O)[O-]	-112.69	C00022
